,Unnamed: 0,Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,UnderwayCount,WaitingCount,MooredCount,OtherCount,FinishedCount,name,type,built,dwt,loa,beam,status,flagState,holdsTotal,hatchesToNo,shipBuilder,shipBuilderCountry,draughtMeters,lastHullSurveyDate,hullSurveyDueDate
1309,1309,9593220,2020-02-20 07:55:01+00:00,-20.06968833333333,118.57338833333333,1,4 days 16:03:03.000000000,8,37,13,0,2573,Maran Nobility,Bulk Carrier,2013,205938,299.92,50.0,In Service,Greece,9.0,9.0,Shanghai Waigaoqiao,China P.R.,18.4,11/01/2018,7/24/2023
1310,1310,9593309,2019-06-23 15:59:53+00:00,-20.1086,118.59092,1,4 days 23:58:36.000000000,73,36,29,0,714,Cape Asia,Bulk Carrier,2011,176000,292.0,45.0,In Service,Hong Kong,9.0,9.0,SCS Shipbuilding,China P.R.,18.3,07/04/2016,7/25/2021
1311,1311,9593309,2019-11-26 23:55:55+00:00,-20.131031666666665,118.52820166666666,1,1 days 16:01:36.000000000,64,22,25,0,1913,Cape Asia,Bulk Carrier,2011,176000,292.0,45.0,In Service,Hong Kong,9.0,9.0,SCS Shipbuilding,China P.R.,18.3,07/04/2016,7/25/2021
1312,1312,9593464,2019-04-26 23:57:28+00:00,-20.06466,118.62776,1,1 days 08:00:53.000000000,34,40,23,0,240,Baltic Lion,Bulk Carrier,2012,179185,291.97,45.0,In Service,Marshall Is.,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,01/04/2017,01/03/2022
1313,1313,9593464,2019-12-21 15:57:26+00:00,-20.119156666666665,118.593365,1,3 days 08:00:31.000000000,64,23,26,0,2114,Baltic Lion,Bulk Carrier,2012,179185,291.97,45.0,In Service,Marshall Is.,9.0,9.0,Hyundai HI (Ulsan),South Korea,18.22,01/04/2017,01/03/2022
1314,1314,9595400,2019-08-24 15:58:33+00:00,-20.095891666666667,118.54230333333334,1,1 days 08:00:40.000000000,66,22,26,0,1198,Spring Nexus,Bulk Carrier,2012,206562,299.7,50.0,In Service,Panama,9.0,9.0,JMU Tsu Shipyard,Japan,18.23,12/24/2015,12/23/2020
1315,1315,9595400,2019-11-09 23:58:05+00:00,-20.097721666666665,118.51379333333334,1,3 days 16:00:06.000000000,66,18,33,0,1778,Spring Nexus,Bulk Carrier,2012,206562,299.7,50.0,In Service,Panama,9.0,9.0,JMU Tsu Shipyard,Japan,18.23,12/24/2015,12/23/2020
1316,1316,9595400,2019-12-22 07:59:38+00:00,-20.097231666666666,118.59503666666667,1,6 days 08:00:03.000000000,63,26,27,0,2125,Spring Nexus,Bulk Carrier,2012,206562,299.7,50.0,In Service,Panama,9.0,9.0,JMU Tsu Shipyard,Japan,18.23,12/24/2015,12/23/2020
1317,1317,9595424,2019-04-19 07:58:04+00:00,-20.077978333333334,118.59012333333334,1,6 days 08:01:10.000000000,27,39,19,0,180,Shagang Haili,Bulk Carrier,2011,207725,299.7,50.0,In Service,Liberia,9.0,9.0,Universal SB (Tsu),Japan,18.23,6/18/2016,08/09/2021
1318,1318,9595424,2019-05-30 23:57:26+00:00,-20.115166666666667,118.51955166666669,1,2 days 07:59:48.000000000,62,23,30,0,509,Shagang Haili,Bulk Carrier,2011,207725,299.7,50.0,In Service,Liberia,9.0,9.0,Universal SB (Tsu),Japan,18.23,6/18/2016,08/09/2021
