,Imo,RecievedTime,Latitude,Longitude,NavStatus,Status
10456,9271559, 2019-05-20T15:58:01Z,-20.324316666666668,118.58416333333334,5, moored
10457,9271559, 2019-05-20T23:58:15Z,-20.324315,118.584185,5, moored
10458,9271559, 2019-05-21T07:58:28Z,-20.32432333333333,118.58413666666668,5, moored
10459,9271559, 2019-05-21T15:59:39Z,-20.32437833333333,118.58373333333333,0, moving
10526,9271597, 2019-06-14T07:51:11Z,-20.067921666666667,118.56631499999999,1, anchorage
10527,9271597, 2019-06-14T15:57:12Z,-20.063186666666667,118.56599166666666,1, anchorage
10528,9271597, 2019-06-14T23:54:13Z,-20.063241666666666,118.56644333333334,1, anchorage
10529,9271597, 2019-06-15T07:57:13Z,-20.064266666666665,118.56504666666666,1, anchorage
10530,9271597, 2019-06-15T15:57:12Z,-20.063728333333334,118.56521333333332,1, anchorage
10531,9271597, 2019-06-15T23:57:13Z,-20.06569333333333,118.56463500000001,1, anchorage
10532,9271597, 2019-06-16T07:57:10Z,-20.06522,118.56472166666668,1, anchorage
10533,9271597, 2019-06-16T15:57:28Z,-20.06358833333333,118.56531666666666,1, anchorage
10534,9271597, 2019-06-16T23:57:40Z,-20.320341666666668,118.569575,5, moored
10535,9271597, 2019-06-17T07:59:40Z,-20.320375,118.56955666666668,5, moored
10536,9271597, 2019-06-17T15:59:29Z,-20.320318333333333,118.56960333333332,5, moored
10537,9271597, 2019-06-17T23:59:29Z,-20.32031333333333,118.56957833333334,5, moored
10580,9271597, 2019-10-03T23:58:14Z,-20.076905,118.512285,1, anchorage
10581,9271597, 2019-10-04T07:58:11Z,-20.077093333333334,118.51214166666666,1, anchorage
10582,9271597, 2019-10-04T15:58:18Z,-20.079085,118.51278166666668,1, anchorage
10583,9271597, 2019-10-04T23:59:51Z,-20.309823333333334,118.57031,5, moored
10584,9271597, 2019-10-05T07:59:50Z,-20.309826666666666,118.57032166666669,5, moored
10585,9271597, 2019-10-05T15:59:51Z,-20.309815,118.57031333333332,5, moored
10586,9271597, 2019-10-05T23:59:50Z,-20.30981,118.57035166666668,5, moored
10587,9271597, 2019-10-06T07:59:54Z,-20.30980333333333,118.570315,5, moored
10588,9271597, 2019-10-06T15:59:58Z,-20.30982833333333,118.57031,5, moored
10589,9271597, 2019-10-06T23:59:58Z,-20.309808333333333,118.57033666666666,5, moored
10590,9271597, 2019-10-07T07:59:10Z,-20.10720333333333,118.46936833333334,0, moving
10630,9271597, 2020-02-26T23:58:51Z,-20.12361,118.63471166666666,0, anchorage
10631,9271597, 2020-02-27T07:56:46Z,-20.120853333333333,118.63454833333333,1, anchorage
10632,9271597, 2020-02-27T15:59:41Z,-20.123051666666665,118.63512833333333,1, anchorage
10633,9271597, 2020-02-27T23:59:43Z,-20.121985000000002,118.63537,1, anchorage
10834,9271638, 2019-08-30T15:58:10Z,-20.106783333333333,118.63435,1, anchorage
10835,9271638, 2019-08-30T23:58:15Z,-20.10905,118.63461666666667,1, anchorage
10836,9271638, 2019-08-31T07:59:16Z,-20.31065,118.57193333333332,0, moving
10837,9271638, 2019-08-31T15:59:31Z,-20.327016666666665,118.56733333333334,5, moored
10838,9271638, 2019-08-31T23:59:24Z,-20.327016666666665,118.56735,5, moored
10839,9271638, 2019-09-01T07:59:24Z,-20.327016666666665,118.56735,5, moored
10840,9271638, 2019-09-01T15:59:17Z,-20.327016666666665,118.56735,5, moored
10841,9271638, 2019-09-01T23:59:25Z,-20.327016666666665,118.56736666666669,5, moored
10842,9271638, 2019-09-02T07:59:22Z,-20.327,118.56735,5, moored
10843,9271638, 2019-09-02T15:59:30Z,-20.327,118.56736666666669,5, moored
10844,9271638, 2019-09-02T23:59:19Z,-20.327,118.56738333333334,5, moored
11061,9273985, 2019-04-23T15:59:30Z,-20.12933333333333,118.53205,0, anchorage
11062,9273985, 2019-04-23T23:59:18Z,-20.128366666666672,118.523,1, anchorage
11063,9273985, 2019-04-24T07:59:17Z,-20.129566666666665,118.52293333333333,1, anchorage
11064,9273985, 2019-04-24T15:59:17Z,-20.1295,118.52823333333332,1, anchorage
11065,9273985, 2019-04-24T23:59:18Z,-20.127566666666667,118.52318333333334,1, anchorage
11066,9273985, 2019-04-25T07:59:18Z,-20.128433333333334,118.523,1, anchorage
11067,9273985, 2019-04-25T15:59:17Z,-20.1291,118.52813333333332,1, anchorage
11068,9273985, 2019-04-25T23:59:18Z,-20.127766666666666,118.5223,1, anchorage
11069,9273985, 2019-04-26T07:59:18Z,-20.1298,118.52205,1, anchorage
