Imo,RecievedTime,Latitude,Longitude,NavStatus,FullWaitTime,WaitingCount,MooredCount,type,built,dwt,loa,beam,holdsTotal,hatchesToNo,draughtMeters
9300582,2019-07-29 23:56:02+00:00,-20.09591667,118.6267333,1,32.05916667,24,27,Bulk Carrier,2006,176996,288.97,45,9,9,17.96
9598086,2019-10-26 15:54:53+00:00,-20.10648333,118.564875,1,32.06944444,24,33,Bulk Carrier,2011,28253,169.37,27.2,5,5,9.82
9604976,2019-06-04 07:55:00+00:00,-20.06909667,118.6138817,1,32.07027778,22,31,Bulk Carrier,2012,181415,291.98,45,9,9,18.24
9712682,2019-04-15 15:54:47+00:00,-20.094765,118.6087017,1,32.08611111,32,20,Bulk Carrier,2015,209529,300,50,9,9,18.4
9437270,2019-05-30 23:51:50+00:00,-20.13463,118.5356483,1,32.08722222,23,30,Ore Carrier,2011,250847,329.95,57,9,9,18.02
9469869,2019-08-09 07:38:43+00:00,-20.08080667,118.6152317,1,32.30777778,17,26,Bulk Carrier,2009,177736,292,45,9,9,18.32
9438781,2019-05-31 23:59:14+00:00,-20.06733333,118.5859333,1,36.96083333,28,31,Bulk Carrier,2009,180018,292,45,9,9,17.92
9702558,2019-06-17 15:59:19+00:00,-20.092155,118.6027367,0,39.23611111,29,33,Bulk Carrier,2014,209749,299.99,50,9,9,18.43
9588495,2019-05-12 15:59:48+00:00,-20.08379667,118.5354983,1,39.40027778,22,21,Bulk Carrier,2012,206040,299.92,50,9,9,18.4
9511466,2019-08-21 23:59:49+00:00,-20.12323333,118.5095167,1,39.95416667,23,25,Bulk Carrier,2010,175800,291.8,45,9,9,18.25
9702572,2019-06-10 23:58:24+00:00,-20.10503833,118.5797833,1,39.955,31,32,Bulk Carrier,2015,182476,292,45,9,9,18.18
9488279,2019-10-30 07:59:53+00:00,-20.10785333,118.5614733,1,39.95777778,24,40,Ore Carrier,2013,263055,328.05,57,5,5,18.83
9469625,2019-09-08 15:59:55+00:00,-20.121705,118.5153367,1,39.95972222,16,27,Bulk Carrier,2011,176536,292,45,9,9,18.3
9700184,2019-08-01 07:59:36+00:00,-20.13558333,118.5389967,1,39.95972222,23,26,Bulk Carrier,2015,207560,299.97,50,9,9,18.47
9796315,2019-12-21 23:59:51+00:00,-20.118895,118.579675,1,39.95972222,29,26,Bulk Carrier,2019,207000,299.88,50,9,9,18.4
9691943,2020-01-08 07:59:42+00:00,-20.09138,118.6207767,1,39.96,23,28,Bulk Carrier,2015,207562,299.97,50,9,9,18.47
9421843,2019-10-04 23:59:37+00:00,-20.08545,118.5245833,1,39.96111111,34,33,Bulk Carrier,2008,169676,289.9,45,9,9,17.8
9439072,2019-06-16 07:59:58+00:00,-20.08048333,118.57455,1,39.96222222,29,30,Bulk Carrier,2011,179700,292,45,9,9,18.2
9488279,2020-02-13 07:59:24+00:00,-20.06675333,118.6297517,0,39.96277778,38,19,Ore Carrier,2013,263055,328.05,57,5,5,18.83
9531856,2019-05-16 15:59:30+00:00,-20.078945,118.6056367,1,39.96527778,21,25,Bulk Carrier,2013,206400,299.7,50,9,9,18.23
9439113,2019-06-27 15:59:42+00:00,-20.10846667,118.5143667,1,39.96555556,28,33,Bulk Carrier,2008,180180,288.93,45,9,9,18.17
9691553,2019-08-28 23:59:50+00:00,-20.12107,118.5804933,1,39.96611111,16,29,Bulk Carrier,2014,181513,291.98,45,9,9,18.21
9675638,2019-03-28 07:59:51+00:00,-20.09244667,118.5140067,1,39.96777778,30,14,Bulk Carrier,2014,181513,291.98,45,9,9,18.24
9747883,2019-08-27 15:59:27+00:00,-20.11397,118.52568,1,39.96777778,17,27,Bulk Carrier,2016,180981,291.98,45,9,9,18.24
9511947,2019-04-20 07:58:59+00:00,-20.09303,118.6159917,1,39.96805556,41,18,Bulk Carrier,2010,179435,291.97,45,9,9,18.22
9516521,2019-05-13 15:59:14+00:00,-20.10377333,118.5414667,0,39.97027778,17,25,Bulk Carrier,2014,207891,300,50,9,9,18.2
9662409,2019-08-18 23:59:08+00:00,-20.11717167,118.5629733,1,39.97361111,17,26,Bulk Carrier,2014,176247,292,45,9,9,18.3
9445289,2019-09-07 15:59:56+00:00,-20.121535,118.5407683,1,39.97444444,15,23,Ore Carrier,2011,228800,324.99,52.5,5,5,18.1
9758648,2020-01-24 07:59:26+00:00,-20.10702,118.5795217,1,39.97611111,33,28,Bulk Carrier,2017,207392,299.88,50,9,9,18.5
9455040,2019-08-21 15:59:32+00:00,-20.081995,118.5777217,1,39.97638889,20,26,Bulk Carrier,2011,176320,292,45,9,9,18.3
9409065,2019-07-09 15:58:39+00:00,-20.10953333,118.6083,1,39.97666667,17,29,Bulk Carrier,2009,178369,292,44.98,9,9,17.98
9421831,2019-07-14 07:59:40+00:00,-20.09697333,118.5628383,1,39.97805556,15,27,Bulk Carrier,2008,170039,289.9,45,9,9,17.8
9505833,2019-11-23 07:59:24+00:00,-20.075485,118.5286733,1,39.97805556,24,22,Bulk Carrier,2010,178987,292,45,9,9,18.2
9409065,2020-01-17 15:59:48+00:00,-20.11355,118.5293833,0,39.98055556,24,30,Bulk Carrier,2009,178369,292,44.98,9,9,17.98
